"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"montgomery::montgomery_add","0.019","124800000","843648000","0.147929","0.800001","0.0500001","0.149999","0","","0","","0","0","6.56842e+09","main.exe","montgomery::montgomery_add(unsigned long long, unsigned long long, unsigned long long)","main.cc","0x140009010","0","0"
"montgomery::ModMul","0.046","227136000","1208064000","0.188017","0.933334","0","0.0666655","0","0.240385","0","0.519229","0.240385","0.240385","4.93774e+09","main.exe","montgomery::ModMul(unsigned long long, unsigned long long)","main.cc","0x1400091d0","0","0"
"montgomery::fromMontgomery","0","2496000","7488000","0.333333","0","0","1","0","0","0","0","0","0","","main.exe","montgomery::fromMontgomery(std::vector<unsigned long long, std::allocator<unsigned long long>>&)","main.cc","0x140008f80","0","0"
"montgomery::fromMont","0","2496000","17472000","0.142857","0","0","1","0","0","0","0","0","0","","main.exe","montgomery::fromMont(unsigned long long)","main.cc","0x140009370","0","0"
"ModMul_worker","0.002","0","12480000","0","0","0","1","0","","0","","0","0","0","main.exe","ModMul_worker(void*)","main.cc","0x1400028ee","0","0"
"memcpy","0.003","7488000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","ucrtbase.dll","memcpy","[Unknown]","0x1800edb00","0","0"
"malloc","0","2496000","0","","0","0","1","0","0","0","1","0","0","","ucrtbase.dll","malloc","[Unknown]","0x180015e00","0","0"
"main","0.001","0","34944000","0","0","0","1","0","0","0","0","0","0","0","main.exe","main","main.cc","0x140003985","0","0"
"KeReleaseInStackQueuedSpinLock","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","KeReleaseInStackQueuedSpinLock","[Unknown]","0x140213ae0","0","0"
"KeRcuReadUnlock","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","KeRcuReadUnlock","[Unknown]","0x140359b70","0","0"
"KeRcuReadLock","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","KeRcuReadLock","[Unknown]","0x140359cd0","0","0"
"KeEnterCriticalRegion","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","KeEnterCriticalRegion","[Unknown]","0x14043c650","0","0"
"IoFreeIrp","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","IoFreeIrp","[Unknown]","0x140266b00","0","0"
"fWrite","0","0","4992000","0","0","0","1","0","0","0","0","0","0","0","main.exe","fWrite(unsigned long long*, int, int)","main.cc","0x140001aaf","0","0"
"function<NTT_iterative(std::vector<long long unsigned int>&, int, uint64_t, int, montgomery&)::<lambda()> >","0","0","0","0","0","","","0","0","0","0","0","0","0","main.exe","function<NTT_iterative(std::vector<long long unsigned int>&, int, uint64_t, int, montgomery&)::<lambda()> >","std_function.h","0x140005ab6","0","0"
"func@0x3be9993c0","0.001","2496000","14976000","0.166667","0","0","1","0","0","0","0","0","0","2.496e+09","libstdc++-6.dll","func@0x3be9993c0","[Unknown]","0x3be9993c0","0","0"
"func@0x3be9784f8","0","2496000","0","","0","0","1","0","0","0","0","0","0","","libstdc++-6.dll","func@0x3be9784f8","[Unknown]","0x3be9784f8","0","0"
"func@0x3be9784a0","0","4992000","4992000","1","0","0","1","0","0","0","0","0","0","","libstdc++-6.dll","func@0x3be9784a0","[Unknown]","0x3be9784a0","0","0"
"func@0x3be96d7b0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","libstdc++-6.dll","func@0x3be96d7b0","[Unknown]","0x3be96d7b0","0","0"
"func@0x1c0161062","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0161062","[Unknown]","0x1c0161062","0","0"
"func@0x1c0131b40","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0131b40","[Unknown]","0x1c0131b40","0","0"
"func@0x1c006f055","0","2496000","0","","0","0","1","0","0","0","0","0","0","","fltmgr.sys","func@0x1c006f055","[Unknown]","0x1c006f055","0","0"
"func@0x1c0069360","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0069360","[Unknown]","0x1c0069360","0","0"
"func@0x1c005ac80","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c005ac80","[Unknown]","0x1c005ac80","0","0"
"func@0x1c001a60b","0","0","0","0","0","0","1","0","0","0","0","0","0","0","dxgmms2.sys","func@0x1c001a60b","[Unknown]","0x1c001a60b","0","0"
"func@0x1c000aa90","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c000aa90","[Unknown]","0x1c000aa90","0","0"
"func@0x1c000a910","0","0","0","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c000a910","[Unknown]","0x1c000a910","0","0"
"func@0x1c0009430","0","0","0","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0009430","[Unknown]","0x1c0009430","0","0"
"func@0x1c0006e50","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0006e50","[Unknown]","0x1c0006e50","0","0"
"func@0x1c0006c26","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0006c26","[Unknown]","0x1c0006c26","0","0"
"func@0x1c0006c00","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0006c00","[Unknown]","0x1c0006c00","0","0"
"func@0x1c0006250","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0006250","[Unknown]","0x1c0006250","0","0"
"func@0x1c0001000","0","0","0","0","0","0","1","0","0","0","0","0","0","0","fileinfo.sys","func@0x1c0001000","[Unknown]","0x1c0001000","0","0"
"func@0x1801727f0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x1801727f0","[Unknown]","0x1801727f0","0","0"
"func@0x180165cd0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180165cd0","[Unknown]","0x180165cd0","0","0"
"func@0x1800ed5a0","0.001","2496000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","ucrtbase.dll","func@0x1800ed5a0","[Unknown]","0x1800ed5a0","0","0"
"func@0x1800b7440","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x1800b7440","[Unknown]","0x1800b7440","0","0"
"func@0x180090059","0.004","4992000","0","","0","0","1","0","0","0","1","0","0","1.248e+09","ntdll.dll","func@0x180090059","[Unknown]","0x180090059","0","0"
"func@0x18008f9be","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x18008f9be","[Unknown]","0x18008f9be","0","0"
"func@0x18008f360","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x18008f360","[Unknown]","0x18008f360","0","0"
"func@0x18008e7ca","0.005","27456000","0","","0","0","1","0","0","0","1","0","0","5.4912e+09","ntdll.dll","func@0x18008e7ca","[Unknown]","0x18008e7ca","0","0"
"func@0x1800802c1","0.002","4992000","12480000","0.4","0","0","1","0","0","0","0","0","0","2.496e+09","ntdll.dll","func@0x1800802c1","[Unknown]","0x1800802c1","0","0"
"func@0x18006d940","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x18006d940","[Unknown]","0x18006d940","0","0"
"func@0x1800625c0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x1800625c0","[Unknown]","0x1800625c0","0","0"
"func@0x1800583a0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x1800583a0","[Unknown]","0x1800583a0","0","0"
"func@0x180056393","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180056393","[Unknown]","0x180056393","0","0"
"func@0x180052120","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x180052120","[Unknown]","0x180052120","0","0"
"func@0x180048e84","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","kernelbase.dll","func@0x180048e84","[Unknown]","0x180048e84","0","0"
"func@0x180043c50","0.001","0","0","0","0","","","0","0","0","0","0","0","0","ntdll.dll","func@0x180043c50","[Unknown]","0x180043c50","0","0"
"func@0x1800390b0","0.001","37440000","97344000","0.384615","0","0","1","0","0","0","0","0","0","3.744e+10","ucrtbase.dll","func@0x1800390b0","[Unknown]","0x1800390b0","0","0"
"func@0x180037d70","0.004","9984000","54912000","0.181818","0","0","1","0","0","0","0","0","0","2.496e+09","ucrtbase.dll","func@0x180037d70","[Unknown]","0x180037d70","0","0"
